map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,320,339,329.6007575757576,3.831507985337275e-08,3.750405241923865e-08,3.740654135888531e-08,0.9788326831827625,0.976287704528757,0.997399986026488
summed,,,340,359,349.595,3.5439100028805515e-08,3.3721408088783954e-08,3.363361852881458e-08,0.9515311636405724,0.949053968680824,0.9973966223552042
summed,,,360,379,369.58986486486486,3.292404949123369e-08,3.1897551532657845e-08,3.186921846422786e-08,0.9688222446983881,0.9679616862656372,0.9991117478593622
summed,,,380,399,389.5852564102564,3.0679769332577544e-08,3.009113946567092e-08,3.007539205324566e-08,0.9808137453536332,0.9803004620803937,0.9994766761011751
summed,,,400,419,409.5810975609756,2.8638809930159442e-08,2.740857952138666e-08,2.7334697339206846e-08,0.957043242656629,0.9544634503272694,0.9973044140385983
summed,,,420,439,429.57732558139537,2.675491447748328e-08,2.5482045363459456e-08,2.5431930315019305e-08,0.9524248483359922,0.9505517327077465,0.9980333192361389
summed,,,440,459,449.5738888888889,2.5003150312453574e-08,2.4601182130584818e-08,2.4565908747111346e-08,0.9839232985905563,0.9825125410247025,0.9985661915233894
summed,,,460,479,469.5707446808511,2.3381064203594543e-08,2.3177282319704076e-08,2.313619538915339e-08,0.9912843195623603,0.9895270458047197,0.9982272757442422
summed,,,480,499,489.5678571428571,2.1917472860065967e-08,2.1505501380256278e-08,2.146141536275917e-08,0.9812035136331658,0.9791920583080661,0.997950012105387
summed,,,500,519,509.56519607843137,2.058067590126305e-08,2.0600890515119442e-08,2.0530591385569466e-08,1.000982213312788,0.997566429988312,0.9965875684112596
summed,,,520,539,529.5627358490566,1.9351027406497105e-08,1.9198652889444933e-08,1.9163363466022484e-08,0.9921257660458374,0.9903021200615109,0.9981618802305733
summed,,,540,559,549.5604545454545,1.824492852844687e-08,1.8099092877583435e-08,1.808813667870824e-08,0.9920067842065781,0.9914062776681111,0.999394654806774
summed,,,560,579,569.5583333333333,1.7246176770013695e-08,1.6991950878025358e-08,1.6979314328858977e-08,0.9852589999871528,0.9845262840156713,0.999256321463198
summed,,,580,599,589.5563559322034,1.6339302437566072e-08,1.5927026405658924e-08,1.5903977866756874e-08,0.9747678315226436,0.973357212006289,0.9985528661587538
summed,,,600,619,609.5545081967213,1.550522967914792e-08,1.5710474578080096e-08,1.5688855491983314e-08,1.0132371401894291,1.011842830879335,0.9986239062359742
summed,,,620,639,629.5527777777778,1.473173362937682e-08,1.4641133755177011e-08,1.4595809064180093e-08,0.9938500195238976,0.9907733489746463,0.9969042909002254
summed,,,640,659,649.5511538461539,1.4006849107004154e-08,1.4131460236808689e-08,1.409159526108277e-08,1.0088964426512044,1.0060503367624798,0.9971789910555683
summed,,,660,679,669.5496268656716,1.3324305698893129e-08,1.3224013870316848e-08,1.3198805864924595e-08,0.9924730165426472,0.9905811351972389,0.998093770496654
summed,,,680,699,689.5481884057971,1.2683152788845022e-08,1.2464366276728277e-08,1.2455954829149899e-08,0.9827498323359181,0.9820866338616573,0.9993251604300106
summed,,,700,719,709.5468309859154,1.2081319073906553e-08,1.2226987388138295e-08,1.2202041885913706e-08,1.0120573186868609,1.0099925191337669,0.9979597997910107
summed,,,720,739,729.5455479452055,1.1519771572272782e-08,1.1582801184602193e-08,1.1539959128850987e-08,1.005471429006554,1.0017524268125937,0.9963012353343198
summed,,,740,759,749.5443333333334,1.0999078923497589e-08,1.0838445004724557e-08,1.0826230170848682e-08,0.985395693594864,0.9842851611620274,0.9988730086400264
summed,,,760,779,769.5431818181818,1.0515966827407502e-08,1.072022121454406e-08,1.0670655194757562e-08,1.0194232627859015,1.0147098569146205,0.9953763995355569
summed,,,780,799,789.5420886075949,1.0068229050251166e-08,9.958728264325017e-09,9.92537546425106e-09,0.9891241264596163,0.9858114485390516,0.9966508976659766
summed,,,800,819,809.5410493827161,9.652629468630113e-09,9.58134633207486e-09,9.532240652788729e-09,0.992615158720542,0.9875278734947163,0.9948748664765678
