zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-22.7,-22.6,1.2,1.24,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.24,1.28,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.28,1.32,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.32,1.3599999999999999,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.3599999999999999,1.4,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.6,-22.5,0.2,0.24000000000000002,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.24000000000000002,0.28,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.28,0.32,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.32,0.36,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.36,0.4,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.4,0.44,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.44,0.48000000000000004,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.48000000000000004,0.52,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.52,0.56,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.56,0.6000000000000001,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.6000000000000001,0.64,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.64,0.6799999999999999,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.6799999999999999,0.72,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.72,0.76,0,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.76,0.8,4,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.8,0.8400000000000001,12,131,0.9685619541724265,0.976607951893245,0.006620727618161522
0,-22.6,-22.5,0.8400000000000001,0.8800000000000001,5,131,0.9685619541724265,0.976607951893245,0.006620727618161522
